"Country","Year","WCR.med.m3perMWh","WCR.min.m3perMWh","WCR.max.m3perMWh"
"Cuba",2016,1.79623540507577,1.44081726205103,2.44430821571219
"Curaçao",2016,1.33654824660633,1.04744428733032,1.88047239819005
"Cyprus",2016,1.7785848608838,1.36765335515548,2.48812708674304
"Czechia",2016,8.50174679721759,8.00557279680947,9.26258302379575
"Denmark",2016,0.905590433242508,0.639190239366628,1.33844448793385
"Dominican Republic",2016,6.29555653133005,5.97640996292815,6.8582536566845
"Ecuador",2016,36.131273404907,35.9919374284847,36.3788414366856
"Egypt",2016,36.2970527260895,36.1190041945309,36.5299317256602
"El Salvador",2016,11.0944282428797,8.89734506204458,11.7413062165946
"Eritrea",2016,1.71624019851117,1.35683275434243,2.42112456575682
"Estonia",2016,1.76500500746551,1.16423302487681,2.6612438855864
"Ethiopia",2016,36.977338278777,36.9772240563088,36.9775622964859
"Finland",2016,17.8999818874231,17.6187098683406,18.3647802444642
"France",2016,2.55659695018789,2.29955201681416,2.9797587580002
"North Macedonia",2016,2.83635546776554,2.46803246598934,3.39096616048313
"Gabon",2016,202.380930411301,202.267505240069,202.527202842808
"Georgia",2016,53.2082572338725,53.1749353676205,53.2420160519129
"Germany",2016,1.61401873392899,1.26217450998854,2.17439127012035
"Ghana",2016,862.062345141849,861.948675417078,862.25176250247
"Gibraltar",2016,1.92552,1.48064,2.69368
"Greece",2016,2.17733384539668,1.88166957382667,2.63266909843219
"Guatemala",2016,21.2515265095197,20.7654730123309,21.7831075842185
"Haiti",2016,5.69855531163284,5.33393138174354,6.38456377104244
"Honduras",2016,26.2517758943983,26.0275974155186,26.6719200626779
"China, Hong Kong SAR",2016,1.36691417389714,0.904490070457871,2.06527584282877
"Hungary",2016,2.95735278281299,2.58127277999185,3.52344763423296
"Iceland",2016,5.56920578894825,3.4927564822097,5.84253756684582
"India",2016,3.66740391662498,3.2850312864668,4.16746741949977
"Indonesia",2016,1.00764832308602,0.627179701938073,1.09696404743259
"Iran",2016,0.254183696793898,0.247653126833954,0.261197980618536
